gene_family_id	R5-3	M.roreri	B.botryosum	R0301	P.striiformis	P.oryzae	U.maydis	R10-1	R.solani	P.placenta	R1-6-1	R1-8-2
GF_1759	1	1	1	1	2	1	1	1	1	1	1	1
GF_1760	1	1	1	1	2	1	1	1	1	1	1	1
GF_1761	1	1	1	1	2	1	1	1	1	1	1	1
GF_1762	0	0	0	0	13	0	0	0	0	0	0	0
GF_1763	1	1	1	1	2	1	1	1	1	1	1	1
GF_1764	1	1	1	1	3	1	1	1	0	1	1	1
GF_1765	1	1	1	1	2	1	1	1	1	1	1	1
GF_1766	1	1	1	1	3	0	1	1	1	1	1	1
GF_1767	1	1	1	1	2	1	1	1	1	1	1	1
GF_1768	1	1	1	1	2	1	1	1	1	1	1	1
GF_1769	1	1	1	1	2	1	1	1	1	1	1	1
GF_1770	1	1	1	1	2	1	1	1	1	1	1	1
GF_1771	1	1	1	1	2	1	1	1	1	1	1	1
GF_1772	1	1	1	1	2	1	1	1	1	1	1	1
GF_1773	1	1	1	1	2	1	1	1	1	1	1	1
GF_1774	1	1	1	1	2	1	1	1	1	1	1	1
GF_1775	1	1	1	1	3	1	1	1	1	0	1	1
GF_1776	1	1	1	1	3	0	1	1	1	1	1	1
GF_1777	1	1	1	1	2	1	1	1	1	1	1	1
GF_1778	1	1	1	1	2	1	1	1	1	1	1	1
GF_1779	1	1	1	1	2	1	1	1	1	1	1	1
GF_1780	0	0	0	0	13	0	0	0	0	0	0	0
GF_1781	1	1	1	1	2	1	1	1	1	1	1	1
GF_1782	1	1	1	1	2	1	1	1	1	1	1	1
GF_1783	1	1	1	1	2	1	1	1	1	1	1	1
GF_1784	1	1	1	1	2	1	1	1	1	1	1	1
GF_1785	1	1	1	1	2	1	1	1	1	1	1	1
GF_1786	1	1	1	1	2	1	1	1	1	1	1	1
GF_1787	1	1	1	1	2	1	1	1	1	1	1	1
GF_1788	1	1	1	1	2	0	1	2	1	1	1	1
GF_1789	1	1	1	1	2	1	1	1	1	1	1	1
GF_1790	1	1	1	1	2	1	1	1	1	1	1	1
GF_1791	1	1	1	1	2	1	1	1	1	1	1	1
GF_1792	1	1	1	1	2	1	1	1	1	1	1	1
GF_1793	1	1	1	1	2	1	1	1	1	1	1	1
GF_1794	1	1	1	1	2	1	1	1	1	1	1	1
GF_1795	1	1	1	1	2	1	1	1	1	1	1	1
GF_1796	1	1	1	1	2	1	1	1	1	1	1	1
GF_1797	1	1	1	1	2	1	1	1	1	1	1	1
GF_1798	1	1	1	1	2	1	1	1	1	1	1	1
GF_1799	1	1	1	1	2	1	1	1	1	1	1	1
GF_1800	1	1	1	1	2	1	1	1	1	1	1	1
GF_1801	1	1	1	1	2	1	1	1	1	1	1	1
GF_1802	1	1	1	1	2	1	1	1	1	1	1	1
GF_1803	1	1	1	1	2	1	1	1	1	1	1	1
GF_1804	1	1	1	1	2	1	1	1	1	1	1	1
GF_1805	1	1	1	1	2	1	1	1	1	1	1	1
GF_1806	1	1	1	1	2	1	1	1	1	1	1	1
GF_1807	1	1	1	1	2	1	1	1	1	1	1	1
GF_1808	1	1	0	1	3	1	0	1	1	1	1	2
GF_1809	1	1	1	1	2	1	1	1	1	1	1	1
GF_1810	1	1	1	1	2	1	1	1	1	1	1	1
GF_1811	1	1	1	1	2	1	1	1	1	1	1	1
GF_1812	1	1	1	1	2	0	2	1	1	1	1	1
GF_1813	1	1	1	1	2	1	1	1	1	1	1	1
GF_1814	1	1	1	1	2	1	1	1	1	1	1	1
GF_1815	1	1	1	1	2	1	1	1	1	1	1	1
GF_1816	1	1	1	1	2	1	1	1	1	1	1	1
GF_1817	1	1	1	1	2	1	1	1	0	2	1	1
GF_1818	1	1	1	1	2	1	1	1	1	1	1	1
GF_1819	1	1	1	1	2	1	1	1	1	1	1	1
GF_1820	1	1	1	1	2	1	1	1	1	1	1	1
GF_1821	1	1	1	1	2	1	1	1	1	1	1	1
GF_1822	1	1	1	1	2	1	1	1	1	1	1	1
GF_1823	0	1	1	1	4	1	0	1	1	1	1	1
GF_1824	1	1	1	1	2	1	1	1	1	1	1	1
GF_1825	1	1	1	1	2	1	1	1	1	1	1	1
GF_1826	1	1	1	1	2	1	1	1	1	1	1	1
GF_1827	1	1	1	1	2	1	1	1	1	1	1	1
GF_1828	1	1	1	1	2	1	1	1	1	1	1	1
GF_1829	1	1	1	1	2	1	1	1	1	1	1	1
GF_1830	1	1	1	1	2	1	1	1	1	1	1	1
GF_1831	1	1	1	1	2	1	1	1	1	1	1	1
GF_1832	1	1	1	1	2	1	1	1	1	1	1	1
GF_1833	1	1	1	1	2	1	1	1	1	1	1	1
GF_1834	1	1	1	1	2	1	1	1	1	1	1	1
GF_1835	1	1	1	1	2	1	1	1	1	1	1	1
GF_1836	1	1	1	1	2	1	1	1	1	1	1	1
GF_1837	1	1	1	1	2	1	1	1	1	1	1	1
GF_1838	1	1	1	1	2	1	1	1	1	1	1	1
GF_1839	1	1	1	1	2	1	1	1	1	1	1	1
GF_1840	1	1	1	1	2	1	1	1	1	1	1	1
GF_1841	1	1	1	1	2	1	1	1	1	1	1	1
GF_1842	1	1	1	1	2	1	1	1	1	1	1	1
GF_1843	1	1	1	1	2	1	1	1	1	1	1	1
GF_1844	1	1	1	1	2	1	1	1	1	1	1	1
GF_1845	1	1	1	1	2	1	1	1	1	1	1	1
GF_1846	1	1	1	1	2	1	1	1	1	1	1	1
GF_1847	1	1	1	1	2	1	1	1	1	1	1	1
GF_1848	1	1	1	1	2	1	1	1	1	1	1	1
GF_1849	1	1	1	1	2	1	1	1	1	1	1	1
GF_1850	1	1	1	1	2	1	1	1	1	1	1	1
GF_1851	1	1	1	1	2	1	1	1	1	1	1	1
GF_1852	1	1	1	1	2	1	1	1	1	1	1	1
GF_1853	1	1	1	1	2	1	1	1	1	1	1	1
GF_1854	1	1	1	1	2	1	1	1	1	1	1	1
GF_1855	1	1	1	1	2	1	1	1	1	1	1	1
GF_1856	1	1	1	1	2	0	1	1	1	2	1	1
GF_1857	1	1	1	1	2	1	1	1	1	1	1	1
GF_1858	1	1	1	1	2	1	1	1	1	1	1	1
GF_1859	1	1	1	1	2	1	1	1	1	1	1	1
GF_1860	1	1	1	1	2	1	1	2	0	1	1	1
GF_1861	1	1	1	1	2	1	1	1	1	1	1	1
GF_1862	1	1	1	1	2	1	1	1	1	1	1	1
GF_1863	1	1	1	1	2	1	1	1	1	1	1	1
GF_1864	1	1	1	1	2	1	1	1	1	1	1	1
GF_1865	1	1	1	1	2	1	1	1	1	1	1	1
GF_1866	1	1	1	1	2	1	1	1	1	1	1	1
GF_1867	1	1	1	1	2	1	1	1	1	1	1	1
GF_1868	1	1	1	1	2	1	1	1	1	1	1	1
GF_1869	1	1	1	1	2	1	1	1	1	1	1	1
GF_1870	1	1	1	1	3	0	1	1	1	1	1	1
GF_1871	1	1	1	1	2	1	1	1	1	1	1	1
GF_1872	1	1	1	1	2	1	1	1	1	1	1	1
GF_1873	1	1	1	1	2	1	1	1	1	1	1	1
GF_1874	1	1	1	1	2	1	1	1	1	1	1	1
GF_1875	1	1	1	1	2	1	1	1	1	1	1	1
GF_1876	1	1	1	1	2	1	1	1	1	1	1	1
GF_1877	1	1	1	1	2	1	1	1	1	1	1	1
GF_1878	1	1	1	1	2	1	1	1	1	1	1	1
GF_1879	1	1	1	1	2	1	1	1	1	1	1	1
GF_1880	1	1	1	1	2	1	1	1	1	1	1	1
GF_1881	1	1	1	1	2	1	1	1	1	1	1	1
GF_1882	1	1	1	1	2	1	1	1	1	1	1	1
GF_1883	1	1	1	1	2	0	1	1	1	1	2	1
GF_1884	1	1	1	1	2	1	1	1	1	1	1	1
GF_1885	1	1	1	1	2	1	1	1	1	1	1	1
GF_1886	1	1	1	1	2	1	1	1	1	1	1	1
GF_1887	1	1	1	1	2	1	1	1	1	1	1	1
GF_1888	1	1	1	1	2	1	1	1	1	1	1	1
GF_1889	1	1	1	1	3	0	1	1	1	1	1	1
GF_1890	1	1	1	1	2	1	1	1	1	1	1	1
GF_1891	1	1	1	1	2	1	1	1	1	1	1	1
GF_1892	1	1	1	1	2	1	1	1	1	1	1	1
GF_1893	1	1	1	1	2	1	1	1	1	1	1	1
GF_1894	1	1	1	1	2	1	1	1	1	1	1	1
GF_1895	1	1	1	1	2	1	1	1	1	0	2	1
GF_1896	1	1	1	1	2	1	1	1	1	1	1	1
GF_1897	1	1	1	1	2	2	0	1	1	1	1	1
GF_1898	1	1	1	1	2	1	1	1	1	1	1	1
GF_1899	1	1	1	1	2	1	1	1	1	1	1	1
GF_1900	1	1	1	1	2	1	1	1	1	1	1	1
GF_1901	1	1	1	1	2	1	1	1	1	1	1	1
GF_1902	1	1	1	1	2	1	1	1	1	1	1	1
GF_1903	1	1	1	1	2	1	1	1	1	1	1	1
GF_1904	1	1	1	1	2	1	1	1	1	1	1	1
GF_1905	1	1	1	1	2	1	1	1	1	1	1	1
GF_1906	1	1	1	1	2	1	1	1	1	1	1	1
GF_1907	1	1	1	1	2	1	1	1	1	1	1	1
GF_1908	1	1	1	1	2	1	1	1	1	1	1	1
GF_1909	1	1	1	1	2	1	1	1	1	1	1	1
GF_1910	1	1	1	1	2	1	1	1	1	1	1	1
GF_1911	1	1	1	1	2	1	1	1	1	1	1	1
GF_1912	1	0	1	1	3	1	1	1	1	1	1	1
GF_1913	1	1	1	1	2	1	1	1	1	1	1	1
GF_1914	1	1	1	1	2	1	1	1	1	1	1	1
GF_1915	1	1	1	1	2	1	1	1	1	1	1	1
GF_1916	1	1	1	1	2	1	1	1	1	1	1	1
GF_1917	1	1	1	1	2	1	1	1	1	1	1	1
GF_1918	1	1	1	1	2	1	1	1	1	1	1	1
GF_1919	1	1	1	1	2	1	1	1	1	1	1	1
GF_1920	1	1	1	1	2	1	1	1	1	1	1	1
GF_1921	1	1	1	1	2	1	1	1	1	1	1	1
GF_1922	1	1	1	1	2	1	1	1	1	1	1	1
GF_1923	1	1	1	1	2	1	1	1	1	1	1	1
GF_1924	1	1	1	1	2	1	1	1	1	1	1	1
GF_1925	1	1	1	1	2	1	1	1	1	1	1	1
GF_1926	1	1	1	1	2	1	1	1	1	1	1	1
GF_1927	1	1	1	1	2	1	1	1	1	1	1	1
GF_1928	1	1	1	1	2	1	1	1	1	1	1	1
GF_1929	1	1	1	1	2	1	1	1	1	1	1	1
GF_1930	1	1	1	1	2	1	1	1	1	1	1	1
GF_1931	1	1	1	1	2	1	1	1	1	1	1	1
GF_1932	1	1	1	1	2	1	1	1	1	1	1	1
GF_1933	1	1	1	1	2	1	1	1	1	1	1	1
GF_1934	1	1	1	1	2	1	1	1	1	1	1	1
GF_1935	1	1	1	1	2	1	1	1	1	1	1	1
GF_1936	1	1	1	1	2	1	1	1	1	1	1	1
GF_1937	1	1	1	1	2	1	1	1	1	1	1	1
GF_1938	1	1	1	1	2	1	1	1	1	1	1	1
GF_1939	1	1	1	1	2	1	1	1	1	1	1	1
GF_1940	1	1	1	1	2	1	1	1	1	1	1	1
GF_1941	1	1	2	1	2	1	1	1	1	0	1	1
GF_1942	1	1	1	1	2	1	1	1	1	1	1	1
GF_1943	1	1	1	1	3	0	1	1	1	1	1	1
GF_1944	1	1	1	1	2	1	1	1	1	1	1	1
GF_1945	1	1	1	1	2	1	1	1	1	1	1	1
GF_1946	1	1	1	1	2	1	1	1	1	1	1	1
GF_1947	1	1	1	2	1	0	1	1	1	1	1	2
GF_1948	2	0	0	3	0	0	0	2	0	1	3	2
GF_1949	1	1	1	2	1	1	1	1	1	1	1	1
GF_1950	2	0	0	4	0	0	0	3	1	0	2	1
GF_1951	1	1	1	1	1	1	1	1	2	1	1	1
GF_1952	1	1	1	1	0	1	1	1	3	1	1	1
GF_1953	1	0	0	1	0	0	0	2	7	0	1	1
GF_1954	1	1	1	1	1	1	1	1	2	1	1	1
GF_1955	1	1	1	1	1	1	1	1	2	1	1	1
GF_1956	1	1	1	1	1	1	1	1	2	1	1	1
GF_1957	1	1	1	2	0	1	0	3	1	1	1	1
GF_1958	1	1	1	2	1	1	1	1	1	1	1	1
GF_1959	1	1	1	2	1	1	1	1	1	1	1	1
GF_1960	1	1	1	2	1	1	1	1	1	1	1	1
GF_1961	1	1	1	2	1	1	1	1	1	1	1	1
GF_1962	1	1	1	2	0	1	1	1	1	1	1	2
GF_1963	1	1	1	2	1	1	1	1	1	1	1	1
GF_1964	1	1	1	2	1	1	1	1	1	1	1	1
GF_1965	2	0	0	3	0	0	0	3	0	0	3	2
GF_1966	1	1	1	2	1	1	1	1	1	1	1	1
GF_1967	1	1	1	2	0	1	1	1	1	1	2	1
GF_1968	1	1	1	2	1	1	1	1	1	1	1	1
GF_1969	1	1	1	2	1	1	1	1	1	1	1	1
GF_1970	1	1	1	1	1	1	1	2	1	1	1	1
GF_1971	1	1	1	1	1	1	1	2	1	1	1	1
GF_1972	1	1	1	1	1	1	1	2	1	1	1	1
GF_1973	1	1	1	1	1	1	1	2	1	1	1	1
GF_1974	1	1	1	1	0	1	1	3	1	1	1	1
GF_1975	1	1	1	1	1	1	1	2	1	1	1	1
GF_1976	1	1	1	1	1	1	1	2	1	1	1	1
GF_1977	1	1	1	1	1	1	1	2	1	1	1	1
GF_1978	1	1	1	2	0	0	1	2	1	1	2	1
GF_1979	1	1	1	1	1	1	1	2	1	1	1	1
GF_1980	1	1	1	1	1	1	1	2	1	1	1	1
GF_1981	1	1	1	1	1	1	1	2	1	1	1	1
GF_1982	1	1	1	1	1	1	1	2	1	1	1	1
GF_1983	1	1	1	1	1	1	1	2	1	1	1	1
GF_1984	1	1	1	1	1	1	1	2	1	1	1	1
GF_1985	1	1	1	1	1	1	1	2	1	1	1	1
GF_1986	1	1	1	1	1	1	1	2	1	1	1	1
GF_1987	1	1	1	1	1	1	1	2	1	1	1	1
GF_1988	1	1	1	1	1	1	1	1	1	1	2	1
GF_1989	1	1	1	1	1	1	1	1	1	1	2	1
GF_1990	1	1	1	1	1	1	1	1	1	1	2	1
GF_1991	1	1	1	1	1	1	1	1	1	1	2	1
GF_1992	1	1	1	1	1	1	1	1	1	1	2	1
GF_1993	1	1	1	1	1	1	1	1	1	1	2	1
GF_1994	1	1	1	1	1	1	1	1	1	1	2	1
GF_1995	1	1	1	1	1	1	1	1	1	1	2	1
GF_1996	1	1	1	1	1	1	1	1	1	1	2	1
GF_1997	1	1	1	1	1	1	1	1	1	1	2	1
GF_1998	1	1	1	1	1	1	1	1	1	1	2	1
GF_1999	1	1	1	1	1	1	1	1	1	1	2	1
GF_2000	1	1	1	1	1	1	1	1	1	1	2	1
GF_2001	1	1	1	1	1	1	1	1	1	1	2	1
GF_2002	1	1	1	1	1	1	1	1	1	1	2	1
GF_2003	1	1	1	1	1	1	1	1	1	1	2	1
GF_2004	1	1	1	1	1	1	1	1	1	1	2	1
GF_2005	1	1	1	1	1	1	1	1	1	1	2	1
GF_2006	1	1	1	1	1	1	1	1	1	1	2	1
GF_2007	1	1	1	1	1	1	1	1	1	1	2	1
GF_2008	1	1	1	1	1	1	1	1	1	1	2	1
GF_2009	1	1	1	1	1	1	1	1	1	1	2	1
GF_2010	1	1	1	1	1	1	1	1	1	1	2	1
GF_2011	1	1	1	1	1	1	1	1	1	1	2	1
GF_2012	1	1	1	1	1	1	1	1	1	1	2	1
GF_2013	1	1	1	1	1	1	1	1	1	1	2	1
GF_2014	1	1	1	1	1	1	1	1	1	1	2	1
GF_2015	1	1	1	1	1	1	1	1	1	1	2	1
GF_2016	1	1	2	1	1	0	1	1	1	1	2	1
GF_2017	1	1	1	1	1	1	1	1	2	0	2	1
GF_2018	1	1	1	1	1	1	1	1	1	1	2	1
GF_2019	1	1	1	1	1	1	1	1	1	1	2	1
GF_2020	1	1	1	1	1	1	1	1	1	1	2	1
GF_2021	1	1	1	1	1	1	2	1	1	1	1	1
GF_2022	1	1	1	1	1	1	2	1	1	1	1	1
GF_2023	0	0	0	0	0	0	13	0	0	0	0	0
GF_2024	1	1	1	1	1	1	2	1	1	1	1	1
GF_2025	1	1	1	1	1	1	2	1	1	1	1	1
GF_2026	1	1	1	1	1	1	1	1	1	2	1	1
GF_2027	1	1	1	1	1	1	2	1	1	1	1	1
GF_2028	1	1	1	1	1	1	1	1	1	2	1	1
GF_2029	1	1	2	1	1	1	0	1	1	2	1	1
GF_2030	1	1	1	1	1	1	1	1	1	2	1	1
GF_2031	1	1	1	1	1	1	1	1	1	2	1	1
GF_2032	1	1	1	1	1	1	1	1	1	2	1	1
GF_2033	1	1	1	1	1	1	1	1	1	2	1	1
GF_2034	0	0	0	0	0	0	0	0	0	13	0	0
GF_2035	1	2	1	1	1	1	0	1	1	2	1	1
GF_2036	0	0	0	0	0	0	0	0	0	13	0	0
GF_2037	0	0	13	0	0	0	0	0	0	0	0	0
GF_2038	0	0	13	0	0	0	0	0	0	0	0	0
GF_2039	0	13	0	0	0	0	0	0	0	0	0	0
GF_2040	0	0	0	0	13	0	0	0	0	0	0	0
GF_2041	0	0	0	0	13	0	0	0	0	0	0	0
GF_2042	0	0	0	0	13	0	0	0	0	0	0	0
GF_2043	0	0	0	0	13	0	0	0	0	0	0	0
GF_2044	1	2	1	1	1	1	1	1	1	1	1	1
GF_2045	0	0	0	0	13	0	0	0	0	0	0	0
GF_2046	0	0	0	0	13	0	0	0	0	0	0	0
GF_2047	1	1	1	1	3	1	1	1	1	0	1	1
GF_2048	1	1	1	1	2	1	1	1	1	1	1	1
GF_2049	1	1	2	1	1	1	1	1	1	1	1	1
GF_2050	1	1	1	1	1	1	1	1	1	2	1	1
GF_2051	1	1	1	1	1	1	1	1	2	1	1	1
GF_2052	1	1	1	1	1	1	1	1	2	1	1	1
GF_2053	1	1	1	1	1	1	1	1	2	1	1	1
GF_2054	1	1	1	1	1	1	1	1	2	1	1	1
GF_2055	1	1	1	1	1	1	1	1	1	1	2	1
GF_2056	1	1	1	1	1	1	1	1	2	1	1	1
GF_2057	1	1	1	1	1	1	1	1	2	1	1	1
GF_2058	1	1	1	1	1	1	1	1	2	1	1	1
GF_2059	1	1	1	1	1	1	1	1	1	1	2	1
GF_2060	1	1	1	1	1	1	1	1	1	2	1	1
GF_2061	2	1	1	1	1	1	1	1	1	1	1	1
GF_2062	1	1	1	1	1	1	2	1	1	1	1	1
GF_2063	1	1	1	2	0	0	0	1	2	1	2	2
GF_2064	1	1	1	1	1	1	1	1	1	1	2	1
GF_2065	1	2	1	1	1	1	1	1	1	1	1	1
GF_2066	1	1	1	1	1	1	1	1	1	1	1	2
GF_2067	1	1	1	1	1	1	1	1	1	1	1	2
GF_2068	1	1	1	1	1	1	1	1	1	1	1	2
GF_2069	1	1	1	1	1	0	1	1	2	1	1	2
GF_2070	1	1	1	1	1	1	1	1	1	1	2	1
GF_2071	1	1	1	1	1	1	1	1	1	1	2	1
GF_2072	0	2	1	2	1	1	1	1	1	1	1	1
GF_2073	1	1	1	1	1	1	1	1	2	1	1	1
GF_2074	1	2	1	1	1	1	1	1	1	1	1	1
GF_2075	1	2	1	1	2	0	1	1	1	1	1	1
GF_2076	1	1	1	1	1	1	2	1	1	1	1	1
GF_2077	1	1	1	1	0	2	2	1	1	1	1	1
GF_2078	1	2	1	1	1	1	1	1	1	1	1	1
GF_2079	1	2	2	1	0	0	1	1	1	2	1	1
GF_2080	1	1	1	1	0	1	0	1	2	2	2	1
GF_2081	1	1	1	1	1	1	1	2	1	1	1	1
GF_2082	1	1	1	1	1	0	0	2	1	1	2	2
GF_2083	1	1	1	1	1	1	1	1	1	2	1	1
GF_2084	1	2	1	1	1	1	1	1	1	1	1	1
GF_2085	2	1	1	1	1	1	1	1	1	1	1	1
GF_2086	1	1	1	2	0	0	0	1	2	1	2	2
GF_2087	1	1	2	1	1	1	1	1	1	1	1	1
GF_2088	1	1	1	1	1	2	1	1	1	1	1	1
GF_2089	1	1	1	2	0	1	1	1	1	1	1	2
GF_2090	1	2	1	0	1	2	1	1	1	1	1	1
GF_2091	1	1	1	1	2	1	1	1	1	1	1	1
GF_2092	1	1	1	1	0	2	1	1	1	2	1	1
GF_2093	1	2	2	1	0	0	1	1	1	2	1	1
GF_2094	1	1	1	1	1	1	1	1	2	1	1	1
GF_2095	1	1	1	1	2	1	1	1	1	1	1	1
GF_2096	1	1	1	1	1	1	1	1	2	1	1	1
GF_2097	1	1	1	1	1	1	1	1	1	2	1	1
GF_2098	1	2	1	1	0	1	1	1	1	2	1	1
GF_2099	1	1	1	2	0	0	0	2	1	1	2	2
GF_2100	1	1	1	1	1	1	1	1	2	1	1	1
GF_2101	1	1	1	2	1	1	1	1	1	1	1	1
GF_2102	1	2	1	1	1	1	1	1	1	1	1	1
GF_2103	2	1	1	1	1	1	1	1	1	1	1	1
GF_2104	1	1	1	1	1	2	1	1	1	1	1	1
GF_2105	1	1	1	1	1	1	1	1	2	1	1	1
GF_2106	1	1	2	1	1	1	1	1	1	1	1	1
GF_2107	1	2	1	1	1	1	1	1	1	1	1	1
GF_2108	1	1	1	1	1	1	1	1	2	1	1	1
GF_2109	1	2	1	1	1	1	1	1	1	1	1	1
GF_2110	1	1	2	1	0	2	1	1	1	1	1	1
GF_2111	1	2	1	1	1	1	1	1	1	1	1	1
GF_2112	1	1	1	1	2	1	1	1	1	1	1	1
GF_2113	1	1	1	1	2	1	1	1	1	1	1	1
GF_2114	1	2	1	1	1	1	1	1	1	1	1	1
GF_2115	1	2	1	1	1	1	1	1	1	1	1	1
GF_2116	1	1	1	1	1	1	1	1	2	1	1	1
GF_2117	1	1	1	1	0	2	2	1	1	1	1	1
GF_2118	1	1	1	1	1	2	1	1	1	1	1	1
GF_2119	1	2	1	1	0	1	1	1	1	2	1	1
GF_2120	1	1	1	1	1	2	1	1	1	1	1	1
GF_2121	1	1	1	1	1	1	1	2	1	1	1	1
GF_2122	1	2	2	1	0	1	1	1	1	1	1	1
GF_2123	1	1	1	2	0	1	1	1	2	1	1	1
GF_2124	1	1	1	1	0	1	1	1	2	2	1	1
GF_2125	2	1	1	1	1	0	1	1	1	0	2	2
GF_2126	1	1	2	1	1	0	1	1	2	1	1	1
GF_2127	1	1	1	1	1	2	1	1	1	1	1	1
GF_2128	1	1	0	2	0	1	0	2	2	0	2	2
GF_2129	1	1	0	2	0	0	1	2	1	1	2	2
GF_2130	1	1	0	2	0	1	0	1	2	1	2	2
GF_2131	0	0	1	0	0	0	0	0	0	11	0	0
GF_2132	0	1	7	0	0	0	0	0	0	4	0	0
GF_2133	0	2	8	0	0	0	0	0	0	2	0	0
GF_2134	0	0	0	0	0	0	0	0	0	12	0	0
GF_2135	0	0	1	0	0	2	0	0	0	9	0	0
GF_2136	1	1	0	1	0	0	0	1	1	4	2	1
GF_2137	1	3	0	1	0	0	0	1	2	2	1	1
GF_2138	1	1	1	1	0	1	1	1	1	2	1	1
GF_2139	1	2	1	1	0	0	0	1	2	2	1	1
GF_2140	1	1	1	1	1	0	1	1	1	2	1	1
GF_2141	1	1	1	1	0	1	1	1	1	2	1	1
GF_2142	1	1	1	1	1	1	1	1	1	1	1	1
GF_2143	1	1	1	1	1	1	0	1	1	2	1	1
GF_2144	0	0	0	0	0	0	0	0	0	12	0	0
GF_2145	1	1	0	1	0	1	1	1	2	2	1	1
GF_2146	1	1	1	1	0	1	0	2	1	2	1	1
GF_2147	1	1	1	1	1	1	0	1	1	2	1	1
GF_2148	1	2	2	1	0	0	0	1	1	2	1	1
GF_2149	1	1	1	1	1	1	1	1	0	2	1	1
GF_2150	1	1	2	1	0	0	0	1	1	3	1	1
GF_2151	1	1	1	1	1	0	1	1	1	2	1	1
GF_2152	1	1	0	1	1	0	1	1	1	3	1	1
GF_2153	1	2	1	1	0	1	0	1	1	2	1	1
GF_2154	1	2	0	1	0	0	1	2	1	2	1	1
GF_2155	1	1	0	1	1	1	1	1	1	2	1	1
GF_2156	1	3	1	1	0	0	0	1	1	1	2	1
GF_2157	1	1	1	1	0	1	1	1	1	1	2	1
GF_2158	0	1	4	0	0	1	0	1	1	1	2	1
GF_2159	0	0	12	0	0	0	0	0	0	0	0	0
GF_2160	0	0	12	0	0	0	0	0	0	0	0	0
GF_2161	1	0	5	1	0	0	0	1	2	0	1	1
GF_2162	1	1	2	1	1	1	0	1	1	1	1	1
GF_2163	1	2	2	1	1	1	0	1	0	1	1	1
GF_2164	1	1	2	1	1	1	1	1	1	0	1	1
GF_2165	1	2	2	1	1	2	0	1	0	0	1	1
GF_2166	1	1	2	1	0	1	1	1	1	1	1	1
GF_2167	0	8	3	0	0	0	0	0	0	1	0	0
GF_2168	0	2	8	0	0	1	0	0	0	1	0	0
GF_2169	1	1	2	1	1	0	1	1	1	1	1	1
GF_2170	1	1	4	1	0	0	0	1	2	0	1	1
GF_2171	1	1	2	1	1	1	0	1	1	1	1	1
GF_2172	1	1	4	1	0	1	0	1	1	0	1	1
GF_2173	1	1	2	1	0	1	1	1	1	1	1	1
GF_2174	0	1	2	1	1	1	1	1	1	1	1	1
GF_2175	1	1	2	1	0	1	1	1	1	1	1	1
GF_2176	2	0	2	1	0	0	0	2	0	0	4	1
GF_2177	1	1	3	1	1	0	0	1	1	1	1	1
GF_2178	1	1	2	1	1	0	1	1	1	1	1	1
GF_2179	1	1	2	1	0	1	1	1	1	1	1	1
GF_2180	0	10	2	0	0	0	0	0	0	0	0	0
GF_2181	1	1	2	1	0	0	0	1	3	1	1	1
GF_2182	1	1	2	1	0	2	0	1	1	1	1	1
GF_2183	1	1	2	1	0	1	1	1	1	1	1	1
GF_2184	1	1	2	2	0	1	0	1	1	0	1	2
GF_2185	0	1	2	1	1	1	1	1	1	1	1	1
GF_2186	1	1	2	1	0	1	1	1	1	1	1	1
GF_2187	1	1	2	1	0	0	1	1	1	1	1	2
GF_2188	1	3	2	1	0	1	1	1	0	0	1	1
GF_2189	1	0	3	1	0	0	0	2	2	0	2	1
GF_2190	1	1	2	1	1	1	1	1	0	1	1	1
GF_2191	1	0	2	1	1	1	1	1	1	1	1	1
GF_2192	1	0	4	1	0	1	0	1	1	0	2	1
GF_2193	0	0	0	0	0	0	0	0	12	0	0	0
GF_2194	1	1	1	1	1	1	0	1	3	0	1	1
GF_2195	1	5	2	1	0	0	0	1	0	0	1	1
GF_2196	1	3	2	1	0	1	0	1	1	0	1	1
GF_2197	0	10	2	0	0	0	0	0	0	0	0	0
GF_2198	1	1	3	1	0	0	1	1	1	1	1	1
GF_2199	1	0	3	1	1	1	1	1	1	0	1	1
GF_2200	1	1	2	1	1	1	0	1	1	1	1	1
GF_2201	1	1	2	1	0	0	1	1	1	1	1	2
GF_2202	1	1	2	1	0	1	1	1	1	0	1	2
GF_2203	2	1	1	1	1	0	1	1	1	1	1	1
GF_2204	2	0	1	2	0	0	0	2	1	0	2	2
GF_2205	2	0	0	2	0	0	0	2	2	0	2	2
GF_2206	5	0	0	2	0	0	0	1	0	0	3	1
GF_2207	2	0	0	2	0	0	0	4	1	0	1	2
GF_2208	2	0	0	2	0	1	0	2	1	0	2	2
GF_2209	3	0	0	3	0	0	0	2	0	0	2	2
GF_2210	2	0	0	2	0	0	0	2	2	0	2	2
GF_2211	2	0	0	2	0	0	0	2	1	1	2	2
GF_2212	3	0	0	6	0	0	0	1	0	0	2	0
GF_2213	2	0	0	2	0	0	0	2	1	1	2	2
GF_2214	3	0	0	2	0	0	0	1	1	0	3	2
GF_2215	2	0	0	3	0	0	0	2	1	0	2	2
GF_2216	2	0	0	2	0	0	0	2	2	0	2	2
GF_2217	2	0	0	2	0	0	0	2	0	0	2	4
GF_2218	2	0	0	2	0	0	0	2	0	0	2	4
GF_2219	2	0	0	2	0	0	0	2	0	1	2	3
GF_2220	2	0	0	2	0	0	0	2	2	0	2	2
GF_2221	2	0	0	1	1	0	1	2	1	0	2	2
GF_2222	2	0	0	2	0	0	0	4	0	0	2	2
