gene_family_id	R5-3	M.roreri	B.botryosum	R0301	P.striiformis	P.oryzae	U.maydis	R10-1	R.solani	P.placenta	R1-6-1	R1-8-2
GF_108	4	13	12	4	0	0	1	3	3	5	4	5
GF_109	0	2	0	1	0	0	0	1	49	0	1	0
GF_110	0	54	0	0	0	0	0	0	0	0	0	0
GF_111	0	0	53	0	0	0	0	0	0	0	0	0
GF_112	0	52	0	0	0	0	0	0	0	1	0	0
GF_113	6	12	2	6	0	2	0	6	5	1	6	6
GF_114	1	0	0	3	0	0	0	2	37	0	5	4
GF_115	0	0	0	0	52	0	0	0	0	0	0	0
GF_116	2	4	10	1	0	0	0	1	4	25	2	2
GF_117	3	11	9	5	1	1	1	5	4	1	5	5
GF_118	0	48	0	0	0	3	0	0	0	0	0	0
GF_119	8	1	2	9	0	0	0	14	1	0	4	11
GF_120	2	6	2	3	7	0	0	9	5	3	6	7
GF_121	0	0	50	0	0	0	0	0	0	0	0	0
GF_122	3	4	3	4	2	7	3	4	4	8	3	4
GF_123	4	4	4	4	4	3	4	4	4	4	5	5
GF_124	4	15	3	3	0	3	2	4	3	4	4	4
GF_125	4	0	9	5	0	0	0	7	9	0	6	9
GF_126	8	1	0	13	0	0	1	2	2	0	11	11
GF_127	4	14	4	4	0	0	0	4	10	0	4	4
GF_128	0	1	3	0	43	0	1	0	0	0	0	0
GF_129	7	0	8	9	0	0	0	8	3	1	6	6
GF_130	0	8	1	0	0	26	0	0	0	12	0	0
GF_131	5	4	4	5	5	7	0	5	0	2	5	5
GF_132	6	2	4	5	3	2	2	5	5	1	6	6
GF_133	4	7	6	4	2	1	1	4	5	5	4	4
GF_134	1	3	3	0	33	0	0	4	0	2	0	1
GF_135	4	8	3	3	4	3	3	4	4	2	4	4
GF_136	6	1	1	12	1	1	1	5	1	1	9	7
GF_137	0	43	0	0	0	0	2	0	0	1	0	0
GF_138	0	45	1	0	0	0	0	0	0	0	0	0
GF_139	0	20	14	0	0	1	0	0	0	10	0	0
GF_140	5	0	7	5	2	5	0	5	6	0	5	5
GF_141	3	6	6	3	0	0	1	3	7	7	4	4
GF_142	4	4	7	8	0	0	1	7	1	3	6	3
GF_143	0	0	0	0	44	0	0	0	0	0	0	0
GF_144	0	16	1	0	6	11	1	0	0	8	0	0
GF_145	0	0	43	0	0	0	0	0	0	0	0	0
GF_146	0	32	0	0	0	0	0	0	0	9	0	1
GF_147	2	7	3	5	0	1	0	3	2	12	3	4
GF_148	0	0	42	0	0	0	0	0	0	0	0	0
GF_149	4	5	3	4	2	2	1	4	5	2	5	5
GF_150	0	0	0	0	0	0	0	0	42	0	0	0
GF_151	5	3	2	5	1	1	1	5	8	1	5	5
GF_152	10	0	0	7	0	0	0	4	0	0	10	11
GF_153	7	1	2	7	2	0	0	7	2	1	6	7
GF_154	0	0	0	0	42	0	0	0	0	0	0	0
GF_155	9	0	0	6	0	0	0	5	0	0	10	11
GF_156	0	0	0	0	41	0	0	0	0	0	0	0
GF_157	0	0	0	0	0	0	0	0	0	40	0	0
GF_158	3	6	3	3	4	2	3	3	3	4	3	3
GF_159	5	8	0	4	0	5	0	4	4	2	4	4
GF_160	0	0	0	0	0	0	0	0	0	40	0	0
GF_161	2	6	6	3	0	6	0	8	0	0	3	6
GF_162	4	1	11	4	2	1	1	4	2	2	4	4
